Frequency (GHz),VertexIndex,vertex_X (mm),vertex_Y (mm),vertex_Z (mm),Re( Total B x ) (T),Im( Total B x ) (T),Re( Total B y ) (T),Im( Total B y ) (T),Re( Total B z ) (T),Im( Total B z ) (T)
0.1,2728,6.04792451,-8.48395471,100.000001,-1.47481012e-06,-2.56740861e-07,7.73679119e-07,1.5969492e-07,1.02666636e-05,1.8827958e-06
0.1,2729,6.04792451,-8.48395471,99.1252586,2.22712018e-07,5.07700157e-08,8.74592843e-07,1.81642122e-07,1.12951238e-05,2.06898085e-06
0.1,2730,6.04792451,-8.48395471,98.2505158,2.19157619e-06,4.0700624e-07,9.93646267e-07,2.06947632e-07,1.20201121e-05,2.20050947e-06
0.1,2731,6.04792451,-7.48574222,98.2505158,1.88983222e-06,3.50014972e-07,1.48126139e-06,2.94342129e-07,1.17451355e-05,2.14628017e-06
0.1,2732,6.04792451,-8.48395471,96.5010375,6.90665775e-06,1.26058342e-06,1.34233699e-06,2.78073003e-07,1.22792499e-05,2.24901169e-06
0.1,2733,6.04792451,-7.48574222,97.3757803,4.04097409e-06,7.38356221e-07,1.73085755e-06,3.435064e-07,1.20460991e-05,2.20112884e-06
0.1,2734,6.04792451,-8.48395471,97.3757803,4.44387933e-06,8.14624741e-07,1.14780141e-06,2.3876126e-07,1.23738973e-05,2.26521274e-06
0.1,2735,6.04792451,-8.48395471,95.6262946,9.44395197e-06,1.72070622e-06,1.57126624e-06,3.23573431e-07,1.16760202e-05,2.140888e-06
0.1,2736,6.04792451,-8.48395471,91.408439,1.54801655e-05,2.8235761e-06,2.50999278e-06,5.0722366e-07,5.72501631e-06,1.06194477e-06
0.1,2737,6.04792451,-8.48395471,93.0020735,1.46539369e-05,2.67054952e-06,2.26267821e-06,4.59000546e-07,7.92098945e-06,1.46178286e-06
0.1,2738,6.04792451,-8.48395471,88.5050744,1.55805155e-05,2.8449806e-06,2.80404515e-06,5.64559343e-07,3.2563928e-06,6.09185065e-07
0.1,2739,6.04792451,-8.48395471,82.7227458,1.44866344e-05,2.64323239e-06,3.05673734e-06,6.12864255e-07,1.2505817e-06,2.38024199e-07
0.1,2740,6.04792451,-7.48574222,82.7227458,1.30974149e-05,2.38347229e-06,4.39073983e-06,8.54470045e-07,1.22646418e-06,2.33354868e-07
0.1,2741,6.04792451,-8.48395471,85.6139138,1.50240876e-05,2.74334093e-06,2.97557358e-06,5.97676717e-07,1.96160295e-06,3.70078652e-07
0.1,2742,6.04792451,-8.48395471,76.9404098,1.37473126e-05,2.50325616e-06,3.11606527e-06,6.2258448e-07,5.83239796e-07,1.13131087e-07
0.1,2743,6.04792451,-7.48574222,79.8315778,1.26946261e-05,2.30790465e-06,4.44092348e-06,8.62986894e-07,8.22624258e-07,1.58011517e-07
0.1,2744,6.04792451,-8.48395471,79.8315778,1.40655893e-05,2.56389148e-06,3.0967235e-06,6.19787045e-07,8.37071582e-07,1.60783216e-07
0.1,2745,6.04792451,-8.48395471,74.0492493,1.35053224e-05,2.45665524e-06,3.12378165e-06,6.23001256e-07,4.19489652e-07,8.21725052e-08
0.1,2746,6.04792451,-8.48395471,65.3757527,1.30566696e-05,2.36863229e-06,3.11540498e-06,6.17898422e-07,1.76318068e-07,3.5684117e-08
0.1,2747,6.04792451,-8.48395471,68.2669133,1.3173043e-05,2.391728e-06,3.12152906e-06,6.2025066e-07,2.32273308e-07,4.64891485e-08
0.1,2748,6.04792451,-8.48395471,59.5934168,1.28863703e-05,2.33443302e-06,3.09785696e-06,6.12179974e-07,1.01293509e-07,2.1012811e-08
0.1,2749,6.04792451,-7.48574222,62.4845847,1.16588535e-05,2.10845269e-06,4.43701765e-06,8.54442817e-07,1.32618524e-07,2.7187383e-08
0.1,2750,6.04792451,-8.48395471,62.4845847,1.29627006e-05,2.34981303e-06,3.10738778e-06,6.15188185e-07,1.34168019e-07,2.74800271e-08
0.1,2751,6.04792451,-8.48395471,56.7022525,1.2823888e-05,2.32164757e-06,3.08702602e-06,6.08847813e-07,7.46035198e-08,1.57288618e-08
0.1,2752,6.04792451,-8.48395471,45.1375879,1.26824107e-05,2.29199554e-06,3.03651836e-06,5.94248604e-07,-6.00574257e-09,-4.71659989e-10
0.1,2753,6.04792451,-7.48574222,45.1375879,1.14247041e-05,2.06114032e-06,4.33046853e-06,8.25899917e-07,-6.03888051e-09,-4.94792929e-10
0.1,2754,6.04792451,-8.48395471,48.0287559,1.27033245e-05,2.29655598e-06,3.05015737e-06,5.98101678e-07,1.28251818e-08,3.31377126e-09
0.1,2755,6.04792451,-9.4821658,151.253194,-1.76222031e-07,-2.7750751e-08,6.89381219e-09,2.32049424e-09,5.0578393e-08,6.13344353e-09
0.1,2756,6.04792451,-9.4821658,154.154956,-1.55676361e-07,-2.60066937e-08,5.67598102e-09,2.14705875e-09,4.49294326e-08,4.74555462e-09
0.1,2757,6.04792451,-9.4821658,148.351431,-1.99444571e-07,-3.01402601e-08,8.30723579e-09,2.53119015e-09,5.74821115e-08,7.77921016e-09
0.1,2758,6.04792451,-9.4821658,142.547891,-2.56530058e-07,-3.7403133e-08,1.19820882e-08,3.0936862e-09,7.65751125e-08,1.21461738e-08
0.1,2759,6.04792451,-9.4821658,145.449668,-2.25962793e-07,-3.33059162e-08,9.98332794e-09,2.78055046e-09,6.59863346e-08,9.75902559e-09
0.1,2760,6.04792451,-9.4821658,139.646128,-2.92155306e-07,-4.26279101e-08,1.44043826e-08,3.48465634e-09,8.99237662e-08,1.50640851e-08
0.1,2761,6.04792451,-9.4821658,136.744365,-3.34152162e-07,-4.92221979e-08,1.73787509e-08,3.97965794e-09,1.07015381e-07,1.87174898e-08
0.1,2762,6.04792451,-9.4821658,130.940825,-4.44894511e-07,-6.7983116e-08,2.56749164e-08,5.42243095e-09,1.58758951e-07,2.9357885e-08
0.1,2763,6.04792451,-9.4821658,133.842602,-3.8427217e-07,-5.75243853e-08,2.106e-08,4.6107842e-09,1.29254047e-07,2.33445085e-08
0.1,2764,6.04792451,-9.4821658,128.039062,-5.19342962e-07,-8.1207773e-08,3.15647029e-08,6.47842135e-09,1.98796201e-07,3.73614704e-08
0.1,2765,6.04792451,-8.48395471,128.039062,-5.1948831e-07,-8.11519882e-08,3.39263977e-08,6.86871626e-09,1.9572613e-07,3.67942583e-08
0.1,2766,6.04792451,-9.4821658,125.137299,-6.12280132e-07,-9.80655344e-08,3.91659221e-08,7.87213761e-09,2.54494523e-07,4.83236029e-08
0.1,2767,6.04792451,-8.48395471,125.137299,-6.12522399e-07,-9.80152848e-08,4.24409556e-08,8.42269188e-09,2.50412285e-07,4.7548685e-08
0.1,2768,6.04792451,-9.4821658,116.432004,-1.08659481e-06,-1.86049519e-07,8.10200405e-08,1.58479203e-08,6.35687286e-07,1.21306655e-07
0.1,2769,6.04792451,-8.48395471,116.432004,-1.08805648e-06,-1.86106902e-07,9.12490705e-08,1.76321304e-08,6.24443771e-07,1.1910884e-07
0.1,2770,6.04792451,-9.4821658,119.333766,-8.83678581e-07,-1.48245888e-07,6.25922212e-08,1.22866375e-08,4.52738817e-07,8.65398704e-08
0.1,2771,6.04792451,-9.4821658,110.628471,-1.73675483e-06,-3.07037652e-07,1.43981595e-07,2.83777748e-08,1.44020987e-06,2.72241522e-07
0.1,2772,6.04792451,-9.4821658,113.530234,-1.36079143e-06,-2.37153742e-07,1.06872648e-07,2.09265529e-08,9.32186026e-07,1.77189648e-07
0.1,2773,6.04792451,-9.4821658,104.728781,-2.90027765e-06,-5.21014215e-07,2.75309105e-07,5.60883322e-08,4.20761535e-06,7.83813675e-07
0.1,2774,6.04792451,-9.4821658,107.726701,-2.24878499e-06,-4.01713436e-07,1.97829223e-07,3.94744397e-08,2.36447977e-06,4.43961397e-07
0.1,2775,6.04792451,-9.4821658,102.997921,-3.28005535e-06,-5.88455691e-07,3.51250577e-07,7.38717461e-08,6.06845333e-06,1.12418513e-06
0.1,2776,6.04792451,-9.4821658,100.000001,-1.3028357e-06,-2.2470762e-07,4.04711557e-07,9.3471499e-08,1.0366065e-05,1.90467244e-06
0.1,2777,6.04792451,-9.4821658,100.999311,-2.47678076e-06,-4.38916345e-07,4.00647139e-07,8.91945646e-08,8.91764739e-06,1.64210735e-06
0.1,2778,6.04792451,-9.4821658,99.1252586,4.26183874e-07,8.90537422e-08,4.03611864e-07,9.69775229e-08,1.14214508e-05,2.09604468e-06
0.1,2779,6.04792451,-9.4821658,94.7515592,1.25294673e-05,2.28644535e-06,6.78080823e-07,1.65619383e-07,1.08740669e-05,2.00056343e-06
0.1,2780,6.04792451,-8.48395471,94.7515592,1.17705504e-05,2.14352599e-06,1.81640246e-06,3.71755505e-07,1.06086682e-05,1.94843983e-06
0.1,2781,6.04792451,-9.4821658,95.6262946,1.00360339e-05,1.83257032e-06,5.73346142e-07,1.430829e-07,1.1948714e-05,2.19466415e-06
0.1,2782,6.04792451,-9.4821658,93.8768163,1.44401538e-05,2.63544143e-06,7.88619502e-07,1.88792114e-07,9.52050141e-06,1.75535649e-06
0.1,2783,6.04792451,-8.48395471,93.8768163,1.3535061e-05,2.46531636e-06,2.05306628e-06,4.18101564e-07,9.28340069e-06,1.70884823e-06
0.1,2784,6.04792451,-9.4821658,93.0020735,1.56672213e-05,2.86078421e-06,8.92917683e-07,2.104304e-07,8.12103099e-06,1.50106996e-06
0.1,2785,6.04792451,-9.4821658,88.5050744,1.67542603e-05,3.06453899e-06,1.19469269e-06,2.72346625e-07,3.31999331e-06,6.2181897e-07
0.1,2786,6.04792451,-9.4821658,91.408439,1.65925649e-05,3.03204411e-06,1.02284923e-06,2.37169303e-07,5.85837506e-06,1.08826964e-06
0.1,2787,6.04792451,-9.4821658,85.6139138,1.61952557e-05,2.96190797e-06,1.31205775e-06,2.95943238e-07,1.99443684e-06,3.76614651e-07
0.1,2788,6.04792451,-9.4821658,79.8315778,1.52065668e-05,2.77618324e-06,1.41143062e-06,3.14750622e-07,8.48486366e-07,1.63061145e-07
0.1,2789,6.04792451,-9.4821658,82.7227458,1.56424758e-05,2.85862438e-06,1.37554252e-06,3.08245774e-07,1.26919133e-06,2.41718539e-07
0.1,2790,6.04792451,-9.4821658,71.1580813,1.44279802e-05,2.62577942e-06,1.45183617e-06,3.20193749e-07,3.12810499e-07,6.18836538e-08
0.1,2791,6.04792451,-8.48395471,71.1580813,1.33192043e-05,2.42046531e-06,3.12495331e-06,6.2212024e-07,3.09343903e-07,6.1241245e-08
0.1,2792,6.04792451,-9.4821658,74.0492493,1.46232678e-05,2.66393408e-06,1.44482601e-06,3.19719732e-07,4.24541071e-07,8.31799767e-08
0.1,2793,6.04792451,-9.4821658,68.2669133,1.42739673e-05,2.59535432e-06,1.45543504e-06,3.1992667e-07,2.3480618e-07,4.69674006e-08
0.1,2794,6.04792451,-9.4821658,65.3757527,1.41500796e-05,2.5706006e-06,1.45651916e-06,3.19142231e-07,1.78215217e-07,3.60619623e-08
0.1,2795,6.04792451,-9.4821658,62.4845847,1.40491311e-05,2.55017653e-06,1.45582487e-06,3.17966766e-07,1.35567234e-07,2.77390093e-08
0.1,2796,6.04792451,-9.4821658,59.5934168,1.39659214e-05,2.53320673e-06,1.45380341e-06,3.16528428e-07,1.02263279e-07,2.11832401e-08
0.1,2797,6.04792451,-9.4821658,56.7022525,1.38972482e-05,2.5190518e-06,1.4509169e-06,3.14949204e-07,7.53500586e-08,1.58756688e-08
0.1,2798,6.04792451,-9.4821658,48.0287559,1.37584911e-05,2.48980336e-06,1.43752072e-06,3.09153791e-07,1.2954688e-08,3.34624173e-09
0.1,2799,6.04792451,-8.48395471,50.9199202,1.2733628e-05,2.30299361e-06,3.06315815e-06,6.01838394e-07,3.17043138e-08,7.12058545e-09
0.1,2800,6.04792451,-9.4821658,50.9199202,1.37944762e-05,2.49751383e-06,1.44260264e-06,3.11207543e-07,3.20351852e-08,7.19127202e-09
0.1,2801,6.04792451,-10.4803778,154.154956,-1.55660729e-07,-2.6027168e-08,5.40389911e-09,2.13114637e-09,4.53732234e-08,4.81471796e-09
0.1,2802,6.04792451,-9.4821658,157.056719,-1.37334879e-07,-2.48098271e-08,4.62018246e-09,1.99647188e-09,4.02754381e-08,3.58803764e-09
0.1,2803,6.04792451,-10.4803778,157.056719,-1.37329138e-07,-2.48290863e-08,4.39744685e-09,1.99097094e-09,4.06635223e-08,3.6404495e-09
0.1,2804,6.04792451,-10.4803778,133.842602,-3.84025469e-07,-5.75415733e-08,1.97202255e-08,4.40046843e-09,1.30936769e-07,2.36503723e-08
0.1,2805,6.04792451,-10.4803778,136.744365,-3.33983394e-07,-4.92464771e-08,1.63610601e-08,3.83036314e-09,1.08355181e-07,1.89510256e-08
0.1,2806,6.04792451,-10.4803778,128.039062,-5.18841659e-07,-8.12075669e-08,2.91444699e-08,6.07852657e-09,2.01547394e-07,3.78807208e-08
0.1,2807,6.04792451,-10.4803778,130.940825,-4.44555809e-07,-6.79942929e-08,2.3899636e-08,5.13545384e-09,1.60901152e-07,2.97548972e-08
0.1,2808,6.04792451,-10.4803778,119.333766,-8.81859592e-07,-1.48094728e-07,5.56423636e-08,1.10808083e-08,4.59384694e-07,8.78423734e-08
0.1,2809,6.04792451,-9.4821658,122.235529,-7.30445208e-07,-1.19813834e-07,4.91654006e-08,9.74039693e-09,3.34326529e-07,6.38171116e-08
0.1,2810,6.04792451,-10.4803778,122.235529,-7.29294754e-07,-1.19736967e-07,4.44058905e-08,8.92541507e-09,3.39178115e-07,6.47539622e-08
0.1,2811,6.04792451,-10.4803778,116.432004,-1.08357904e-06,-1.85725654e-07,7.05393361e-08,1.40086218e-08,6.44991303e-07,1.23162266e-07
0.1,2812,6.04792451,-10.4803778,104.728781,-2.85809278e-06,-5.13997577e-07,1.89490677e-07,4.0697774e-08,4.2396955e-06,7.9146281e-07
0.1,2813,6.04792451,-10.4803778,107.726701,-2.22923222e-06,-3.986857e-07,1.51837867e-07,3.12602673e-08,2.39145129e-06,4.49816952e-07
0.1,2814,6.04792451,-10.4803778,102.997921,-3.19697642e-06,-5.73899797e-07,1.92892173e-07,4.54139659e-08,6.09164363e-06,1.13097337e-06
0.1,2815,6.04792451,-10.4803778,100.999311,-2.34321669e-06,-4.14570536e-07,9.76305543e-08,3.47079805e-08,8.91574564e-06,1.64526341e-06
0.1,2816,6.04792451,-9.4821658,101.99862,-3.05511344e-06,-5.45517537e-07,3.85432458e-07,8.34728908e-08,7.42837119e-06,1.37173834e-06
0.1,2817,6.04792451,-10.4803778,101.99862,-2.94145889e-06,-5.25125586e-07,1.54628339e-07,4.19285975e-08,7.4399336e-06,1.37691677e-06
0.1,2818,6.04792451,-10.4803778,99.1252586,5.75844638e-07,1.17414324e-07,-1.13983447e-07,3.78922538e-09,1.14187105e-05,2.0997154e-06
0.1,2819,6.04792451,-10.4803778,100.000001,-1.15766113e-06,-1.97790115e-07,4.90607066e-09,2.14880682e-08,1.03566545e-05,1.90688968e-06
0.1,2820,6.04792451,-10.4803778,98.2505158,2.60204297e-06,4.85304327e-07,-2.41248046e-07,-1.54286948e-08,1.22048205e-05,2.24272458e-06
0.1,2821,6.04792451,-9.4821658,98.2505158,2.44073976e-06,4.54208049e-07,4.09747798e-07,1.01809107e-07,1.21859202e-05,2.23491224e-06
0.1,2822,6.04792451,-10.4803778,97.3757803,4.96271514e-06,9.13865847e-07,-3.71831021e-07,-3.51636906e-08,1.26371096e-05,2.3218297e-06
0.1,2823,6.04792451,-9.4821658,97.3757803,4.76890364e-06,8.76296156e-07,4.35550305e-07,1.10440496e-07,1.25858769e-05,2.30818955e-06
0.1,2824,6.04792451,-10.4803778,95.6262946,1.03884677e-05,1.90004516e-06,-5.91441506e-07,-6.73890597e-08,1.2060309e-05,2.21890741e-06
0.1,2825,6.04792451,-9.4821658,96.5010375,7.34684045e-06,1.34403422e-06,4.89531772e-07,1.24097539e-07,1.25315619e-05,2.29926491e-06
0.1,2826,6.04792451,-10.4803778,96.5010375,7.60419789e-06,1.39368638e-06,-4.92212337e-07,-5.30741424e-08,1.26175964e-05,2.31912941e-06
0.1,2827,6.04792451,-10.4803778,94.7515592,1.2993336e-05,2.37462064e-06,-6.63713763e-07,-7.71022357e-08,1.09944058e-05,2.02605634e-06
0.1,2828,6.04792451,-10.4803778,93.8768163,1.50046699e-05,2.74220497e-06,-7.10165352e-07,-8.25238686e-08,9.63592265e-06,1.77953086e-06
0.1,2829,6.04792451,-10.4803778,88.5050744,1.75263285e-05,3.20918298e-06,-7.02323064e-07,-7.13012511e-08,3.36251469e-06,6.30681882e-07
0.1,2830,6.04792451,-10.4803778,91.408439,1.73079643e-05,3.16659316e-06,-7.41704241e-07,-8.25202235e-08,5.93538653e-06,1.10430483e-06
0.1,2831,6.04792451,-10.4803778,85.6139138,1.69777431e-05,3.10804535e-06,-6.34960827e-07,-5.63799389e-08,2.01869193e-06,3.81665416e-07
0.1,2832,6.04792451,-10.4803778,71.1580813,1.51813256e-05,2.76515698e-06,-4.85479063e-07,-2.85952222e-08,3.16100966e-07,6.25390086e-08
0.1,2833,6.04792451,-10.4803778,74.0492493,1.53819728e-05,2.80455561e-06,-5.00949625e-07,-3.09188408e-08,4.2904486e-07,8.40659098e-08
