Frequency (GHz),VertexIndex,vertex_X (mm),vertex_Y (mm),vertex_Z (mm),Re( Total B x ) (T),Im( Total B x ) (T),Re( Total B y ) (T),Im( Total B y ) (T),Re( Total B z ) (T),Im( Total B z ) (T)
0.1,13970,6.04792451,65.9543574,91.408439,6.55088996e-08,1.47710901e-08,-1.61359935e-07,-2.37323032e-08,2.74687988e-08,8.75883988e-09
0.1,13971,6.04792451,65.9543574,82.7227458,7.51998499e-08,1.6137756e-08,-1.84944e-07,-2.70323088e-08,1.00804733e-08,2.95337244e-09
0.1,13972,6.04792451,66.8630674,82.7227458,1.12441199e-07,2.20400551e-08,-1.78066813e-07,-2.6179805e-08,1.05231335e-08,2.99658631e-09
0.1,13973,6.04792451,66.8630674,85.6139138,1.1210944e-07,2.23016965e-08,-1.74839343e-07,-2.58078465e-08,1.52646944e-08,4.34711023e-09
0.1,13974,6.04792451,65.9543574,85.6139138,7.44840847e-08,1.63074532e-08,-1.81576354e-07,-2.65989328e-08,1.43146366e-08,4.2352597e-09
0.1,13975,6.04792451,65.9543574,68.2669133,7.33394288e-08,1.48635522e-08,-1.89063186e-07,-2.74430718e-08,2.12786921e-09,6.39553355e-10
0.1,13976,6.04792451,65.9543574,71.1580813,7.37054293e-08,1.50444865e-08,-1.88740472e-07,-2.7423205e-08,2.83642243e-09,8.45239656e-10
0.1,13977,6.04792451,65.9543574,59.5934168,7.25745792e-08,1.45063757e-08,-1.89718733e-07,-2.74759113e-08,8.73629058e-10,2.69506972e-10
0.1,13978,6.04792451,66.8630674,59.5934168,1.09076069e-07,2.02128962e-08,-1.82330055e-07,-2.64523781e-08,8.79196771e-10,2.68140871e-10
0.1,13979,6.04792451,66.8630674,62.4845847,1.09291392e-07,2.03122159e-08,-1.8216457e-07,-2.64490687e-08,1.20325727e-09,3.63467534e-10
0.1,13980,6.04792451,65.9543574,62.4845847,7.2784637e-08,1.46006922e-08,-1.89534234e-07,-2.74679426e-08,1.19426746e-09,3.65231234e-10
0.1,13981,6.04792451,65.9543574,50.9199202,7.21312929e-08,1.43316603e-08,-1.90170283e-07,-2.74976433e-08,1.84163379e-10,5.99424052e-11
0.1,13982,6.04792451,65.9543574,53.8110882,7.22552329e-08,1.4374919e-08,-1.90032878e-07,-2.74905396e-08,3.86354115e-10,1.2210731e-10
0.1,13983,6.04792451,65.9543574,48.0287559,7.20277811e-08,1.43026426e-08,-1.90292056e-07,-2.75031748e-08,-4.57712037e-12,2.16155544e-12
0.1,13984,6.04792451,65.9543574,45.1375879,7.19383024e-08,1.42839518e-08,-1.90409139e-07,-2.75102181e-08,-1.9502118e-10,-5.62925262e-11
0.1,13985,6.04792451,144.556731,-6.80000009,-7.04748315e-10,1.18299509e-10,3.35865502e-10,1.4466725e-10,-6.48828977e-11,-4.64557559e-11
0.1,13986,6.04792451,144.556731,-6.00000005,-7.16880055e-10,1.13479288e-10,3.4118211e-10,1.46303455e-10,-6.44281434e-11,-4.62220887e-11
0.1,13987,6.04792451,65.9543574,42.2464237,7.18666442e-08,1.42793652e-08,-1.90511358e-07,-2.75152825e-08,-3.9318146e-10,-1.1658037e-10
0.1,13988,6.04792451,66.8630674,42.2464237,1.08394836e-07,1.99729193e-08,-1.83064216e-07,-2.64804179e-08,-3.89669602e-10,-1.1527463e-10
0.1,13989,6.04792451,65.9543574,33.5729271,7.17421216e-08,1.43404764e-08,-1.90767835e-07,-2.75332006e-08,-1.1845277e-09,-3.5346609e-10
0.1,13990,6.04792451,66.8630674,33.5729271,1.0831512e-07,2.00395434e-08,-1.8331896e-07,-2.6503395e-08,-1.18004384e-09,-3.49881596e-10
0.1,13991,6.04792451,66.8630674,36.4640914,1.08323015e-07,2.0002652e-08,-1.83240161e-07,-2.6493943e-08,-8.67679872e-10,-2.57867783e-10
0.1,13992,6.04792451,65.9543574,36.4640914,7.17655411e-08,1.4305928e-08,-1.90693441e-07,-2.75273582e-08,-8.72445449e-10,-2.60945765e-10
0.1,13993,6.04792451,92.2287777,-32.235533,-1.38105571e-09,-6.58146038e-10,6.91537716e-10,2.52063342e-10,-1.0643898e-09,-3.17939369e-10
0.1,13994,6.04792451,65.9543574,4.60391073,6.49939196e-08,1.49666448e-08,-1.8201284e-07,-2.64064663e-08,-2.29112782e-08,-7.89160914e-09
0.1,13995,6.04792451,66.8630674,4.60391073,1.0372743e-07,2.10934612e-08,-1.74607393e-07,-2.55599897e-08,-2.7397709e-08,-8.53302762e-09
0.1,13996,6.04792451,65.9543574,7.55243329,6.958782e-08,1.5468439e-08,-1.87158292e-07,-2.71155862e-08,-1.81834032e-08,-5.67370106e-09
0.1,13997,6.04792451,65.9543574,2.99792457,5.71992267e-08,1.35999034e-08,-1.71214438e-07,-2.48543124e-08,-2.30832828e-08,-8.98133301e-09
